"","Speaker","Listener","Count","Dialogues","dialouge_lengths"
"49","RON","HERMIONE",39,"You are sure it  hers?|You heard Ollivander. It  Harry  now.|Hideous.|Could not do anything about that bit in the back that  always flipping up, could you? Dead annoying --|Never mind. I am good. That is you in there, is not it?|No. It  not possible |Bloody hell. That  a Welsh Green.|It  been trained to expect pain when it hears the noise.|Blimey |The cup!|That  unfortunate.|You are asking us? you are the brilliant one. |That  your idea? |That was brilliant!  BRILLIANT!|I say we jump!| Afraid he  right.  One problem:  Snape  Headmaster now.  We Can not just walk in the front door. |What  he mean by that? |Did you get a look at him!  For a second I thought it was -|Who  that with her?  Bloody hell  |Six months she has not seen me and it  like I am Frankie First Year.  I mean, I am only her brother. |So you were thinking |You destroyed Tom Riddle  Diary with a Basilisk fang, right?  Well, we know where we might find one, Do not we? |Take me inside. Harry talks in his sleep.  Have not you noticed? |I have never gotten this far before. |Me too. |What did you expect it to be like? |You do it.|Yes, you can.|Bloody hell. We will never find him on this.|What?|Brilliant|He must have gone into the room of Requirement. It does not shhow on the map, remember? You said so last year.|let is go.|Serves him right.|You are bloody well welcome! Prat. |Hermione!|I need to tell you something!|Not exactly leaving the place
better than we found it, are we?|I am just saying. That  the Elder
Wand! It  the most powerful
bloody wand in the world! With
that, we could, we could --",1579
"50","HERMIONE","RON",35,"Positive.|But I hate that thing -- that  the wand that killed Sirius! How can I hold it and not feel |Well, how do I look?|Oh dear, I missed a spot, did not I? Hold still |He  right. I was being stupid.|It looks like it  been down here forever.|That  barbaric. I |Look.|No wonder Bellatrix thought it was real.|Ron, your foot!|We Can not just stand here!  Who  got an idea?|I have got something.  But it  mad. |Relashio!|When?|I know. |Did save our lives twice.  Kept an eye on us in that mirror.  That does not seem like someone who  given up, does it? |She  coming back!  And she  got someone with her!|Unless we can destroy it. |You were thinking.  It  Ron  idea.  And it  brilliant. |No.  Of course not.|I am scared. |I did not expect it to be like this. |Not this. |There he is.|He vanished. Just now. I saw it.|That is right. I did.|Brilliant |C amon! This way!|Someplace safe. |Where is everyone?|Yes!|I Do not want you to say anything
you would not say if we were not
about to be killed by a giant
snake! It will just ruin it!|What  the matter with her?|Can not make an omelette without
breaking a few eggs.
Something my mum used to say.|We?",1149
"51","FLEUR","HERMIONE",1,"This is the closest I could find to what you described, Hermione.",65
"52","HERMIONE","FLEUR",1,"It  perfect. Thank you, Fleur.",30
"53","BILL","HARRY",3,"You are leaving, are not you.|And Griphook?|Listen, I Do not know whatyou are up to, but I know goblins. If you have struck any kind of bargain with Griphook, you must be exceptionally careful to live up to it. If you Do not  he will not be forgiving.",251
"54","WARLOCK","BELLATRIX",1,"Madam Lestrange.",16
"55","BELLATRIX","WARLOCK",1,"Good morning.",13
"56","GRIPHOOK","HERMIONE",4,"Good morning? Good morning?you are Bellatrix Lestrange, not some dewy-eyed schoolgirl!|Go on.|We will only have a few seconds. In other words  they will be no doovers. Understood?|They have added Gemino and Flagrante Curses! Everything you touch will burn and multiply!",269
"57","GOBLIN","BELLATRIX",4,"Identification.|Madam Lestrange! Dear me! How may I help you today?|I see. Very well. Excuse me, will not you?|Next.",116
"58","BELLATRIX","GOBLIN",4,"I hardly think that will be necessary.|I wish to enter my vault.|I Do not like to be kept waiting.|He  with me. As difficult as that may be to
imagine.",151
"59","BOGROD","BELLATRIX",5,"Madam Lestrange. Would you mind presenting your wand?|It  the bank  policy. I am sure you understand, given the current climate --|I am afraid I must insist.|Very well, Madam Lestrange. If you will follow me.|Madam, if you will, I will escort you myself.",254
"60","BELLATRIX","BOGROD",2,"And why should I do that?|No, I most certainly do not understand --",67
"61","HARRY","BOGROD",1,"Imperio.",8
"62","GOBLIN","BOGROD",2,"But  Bogrod, there have been special instructions regarding the Lestrange vault.|Yes, sir, but our instructions are very specific --",132
